[2025-07-24 11:42:49.455] [info]  DiscordSplash.signalReady
[2025-07-24 11:42:49.599] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-24 11:42:49.600] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-24 11:42:49.601] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-24 11:42:49.602] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-24 11:42:49.602] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-24 11:42:49.602] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-24 11:42:49.603] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-24 11:42:49.603] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-24 11:42:49.603] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-24 11:42:49.604] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-24 11:42:49.604] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-24 11:42:49.604] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-24 11:42:49.604] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-24 11:42:49.605] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-24 11:42:50.455] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-24 11:42:51.455] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-24 11:42:52.449] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-24 11:42:52.449] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-24 11:42:52.455] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-24 11:42:53.292] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-07-24 11:42:53.292] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-07-24 11:42:53.316] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-24 11:42:53.317] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
